"#Report name","Broadcast RCs by popularity - Browsers"
"#Site","broadcastredbutton"
"#Reporting period","01-09-2018 until 30-09-2018"
"#Segment","All browsers"
"#Visit filter","All visits"
"#Event filter","All events"

"#Broadcast MHEG RCs by Popularity - Browsers"

"action_type","rc_transition"
"action_name","transition"

"destination_rc","Browsers"
"/d/r/ne/11d","59,299"
"/d/r/ne/2d2","59,015"
"/d/r/ne/c3","58,907"
"/tier1/rc/sp/SportMotorSport","58,836"
"/d/r/sp/HLV","58,663"
"/tier1/rc/ne/11SimpleStory7","58,617"
"/d/r/ne/171","58,591"
"/tier1/rc/ne/11SimpleStory0","58,443"
"/b/bridge_R5LI","58,081"
"/tier1/rc/sp/SportFootballTables","57,938"
"/d/r/we/HQG","57,745"
"/d/r/sp/HKT","57,743"
"/d/r/ne/2d4","57,705"
"/d/r/sp/176","57,532"
"/d/r/sp/1fb","57,499"
"/d/r/sp/HKM","57,180"
"/d/r/ne/26f","57,052"
"/tier1/rc/ne/11SimpleStory6","56,978"
"/d/r/sp/bf","56,847"
"/tv/rc/tvIp_B1_EN","56,743"
"/d/r/ne/151","56,728"
"/d/r/sp/226","56,689"
"/d/r/ne/1e8","56,485"
"/d/r/ne/IKM","56,060"
"/d/r/sp/135","56,038"
"/d/r/ne/20f","55,680"
"/d/r/ne/317","55,553"
"/d/r/sp/HJS","55,388"
"/d/r/ne/27","55,287"
"/tier1/rc/ne/11SimpleStory5","55,069"
"/b/bridge_B2_WA","55,006"
"/d/r/ne/271","54,637"
"/tier1/rc/ne/11SimpleStory4","54,531"
"/d/r/sp/159","54,471"
"/d/r/ne/1b4","54,373"
"/d/r/ne/2ed","54,231"
"/d/r/sp/88","54,021"
"/d/r/ne/2fc","53,619"
"/d/r/ne/2f4","53,463"
"/tier1/rc/en/EntertainmentLottery","53,143"
"/tier1/rc/sp/97SimpleStory5","52,874"
"/tier1/rc/sp/SportHeadlinessub1","52,328"
"/tier1/rc/sp/SportMotorSportHeadlines","52,185"
"/d/r/sp/HIT","52,180"
"/d/r/ne/IIP","52,117"
"/d/r/sp/313","52,020"
"/app/rc/min","51,985"
"/d/r/sp/2d","51,851"
"/d/r/ne/150","51,818"
"/d/r/ne/IKH","51,807"
"/d/r/ne/13b","51,663"
"/b/bridge_R5SX","51,319"
"/tv/rc/bridge_B1HD_WA","51,264"
"/d/r/we/HPM","51,173"
"/d/r/ne/IIS","50,633"
"/d/r/ne/152","50,587"
"/d/r/ne/IIM","50,572"
"/d/r/sp/87","50,506"
"/d/r/ne/91","50,500"
"/tier1/rc/sp/SportIndexsub1","50,494"
"/d/r/ne/IIV","50,222"
"/d/r/ne/16d","50,109"
"/d/r/ne/316","49,766"
"/d/r/ne/1f","49,705"
"/d/r/sp/c0","49,492"
"/d/r/sp/253","49,462"
"/tier1/rc/ne/11SimpleStory3","49,429"
"/d/r/sp/114","49,389"
"/d/r/ne/ILL","49,362"
"/d/r/tr/390","49,314"
"/b/bridge_B2_NI","49,232"
"/tier1/rc/ne/11SimpleStory1","49,214"
"/d/r/ne/295","48,970"
"/d/r/en/4c","48,913"
"/d/r/ne/1e9","48,913"
"/tier1/rc/ne/11SimpleStory2","48,794"
"/tier1/rc/ne/NewsWorldsub2","48,514"
"/d/r/ne/36b","48,391"
"/d/r/sp/HKN","47,873"
"/d/r/ne/1f4","47,792"
"/d/r/sp/24c","47,680"
"/d/r/ne/1c9","47,626"
"/d/r/ne/IKO","47,601"
"/d/r/ne/1f5","47,523"
"/d/r/ne/297","47,320"
"/tier1/rc/sp/97SimpleStory6","47,225"
"/d/r/sp/89","46,997"
"/d/r/ne/16c","46,491"
"/d/r/ne/2ba","46,434"
"/d/r/sp/24f","46,113"
"/d/r/ne/2fb","46,012"
"/b/bridge_CBEB","46,001"
"/d/r/ne/2ea","45,980"
"/d/r/ne/13d","45,751"
"/d/r/sp/332","45,672"
"/d/r/sp/154","45,643"
"/tier1/rc/ne/BusinessForex","45,628"
"/d/r/sp/1db","44,937"
"/d/r/ne/1f6","44,862"
"/d/r/ne/IJS","44,700"
"/tier1/rc/ne/12SimpleStory9","44,651"
"/d/r/ne/16e","44,642"
"/d/r/sp/181","44,539"
"/d/r/sp/27e","44,419"
"/d/r/ne/305","44,249"
"/b/bridge_R2","44,107"
"/tier1/rc/ne/12SimpleStory10","44,022"
"/d/r/ne/1ca","43,970"
"/tier1/rc/ne/12SimpleStory0","43,807"
"/tier1/rc/ne/12SimpleStory5","43,750"
"/d/r/we/HPN","43,590"
"/tier1/rc/ne/12SimpleStory8","43,521"
"/d/r/sp/168","43,484"
"/d/r/ne/IKL","43,445"
"/d/r/ne/ILI","43,362"
"/tier1/rc/ne/12SimpleStory7","43,291"
"/d/r/ne/IKN","43,270"
"/tier1/rc/ne/12SimpleStory6","43,252"
"/tier1/rc/ne/12SimpleStory4","43,166"
"/d/r/sp/203","43,114"
"/tier1/rc/ne/10SimpleStory11","43,013"
"/d/r/ne/IIN","42,860"
"/d/r/sp/312","42,553"
"/d/r/sp/HLH","42,489"
"/tv/rc/bridge_B1HD_SC","42,418"
"/d/r/ne/21","42,394"
"/d/r/sp/1dc","42,337"
"/d/r/ne/258","42,243"
"/d/r/sp/6b","41,870"
"/d/r/sp/HKR","41,833"
"/d/r/sp/1c4","41,821"
"/tier1/rc/sp/98SimpleStory3","41,800"
"/tier1/rc/ne/BusinessNewssub1","41,614"
"/tier1/rc/ne/12SimpleStory2","41,247"
"/d/r/sp/2e8","40,907"
"/tier1/rc/sp/97SimpleStory7","40,895"
"/d/r/sp/169","40,650"
"/d/r/ne/IKR","40,547"
"/d/r/ne/2d9","40,523"
"/d/r/ne/ILJ","40,500"
"/d/r/ne/1ea","40,434"
"/d/r/sp/1de","40,403"
"/b/bridge_B1HD_WA","40,328"
"/tier1/rc/ne/12SimpleStory3","40,193"
"/tier1/rc/ne/BusinessShares","40,166"
"/tier1/rc/sp/SportFootballResultsandFixtures","40,058"
"/b/bridge_B1HD_NI","39,678"
"/d/r/ne/163","39,598"
"/d/r/sp/34b","39,398"
"/d/r/sp/1d3","39,230"
"/d/r/ne/IJP","39,007"
"/d/r/sp/PV","39,001"
"/d/r/sp/113","38,900"
"/tier1/rc/ne/12SimpleStory11","38,830"
"/d/r/sp/1f7","38,609"
"/d/r/ne/13c","38,594"
"/tier1/rc/ne/12SimpleStory1","38,383"
"/tier1/rc/sp/SportHeadlinesTopStory","38,305"
"/tier1/rc/en/EntertainmentNewssub1","38,269"
"/tier1/rc/ne/BusinessMarkets","38,252"
"/d/r/sp/155","37,871"
"/d/r/ne/QS","37,617"
"/tier1/rc/ne/17SimpleStory2","37,562"
"/app/rc/index","37,426"
"/d/r/ne/37","37,101"
"/d/r/ne/2f3","36,898"
"/d/r/sp/2e4","36,791"
"/d/r/ne/74","36,765"
"/d/r/ne/127","36,745"
"/d/r/ne/22f","36,703"
"/c/tv_B1_EN","36,702"
"/d/r/ne/296","36,690"
"/d/r/sp/PU","36,608"
"/d/r/sp/365","36,475"
"/d/r/ne/58","36,264"
"/d/r/ne/IJQ","36,203"
"/d/r/sp/156","36,079"
"/d/r/sp/2e3","36,012"
"/d/r/ne/186","35,863"
"/d/r/sp/2e7","35,761"
"/d/r/sp/6a","35,675"
"/d/r/sp/157","35,636"
"/d/r/sp/158","35,319"
"/d/r/sp/329","35,060"
"/d/r/ne/162","34,917"
"/d/r/ne/175","34,730"
"/d/r/ne/ILK","34,592"
"/tier1/rc/sp/100SimpleStory0","34,513"
"/d/r/ne/1df","34,225"
"/d/r/ne/f6","34,151"
"/d/r/ne/126","33,895"
"/tier1/rc/en/EntertainmentLotteryGame0","33,871"
"/d/r/sp/32","33,864"
"/d/r/sp/160","33,666"
"/d/r/sp/15b","33,655"
"/d/r/ne/36","33,466"
"/d/r/sp/2c7","33,031"
"/d/r/sp/31","32,887"
"/d/r/sp/HKK","32,592"
"/d/r/ne/1eb","32,370"
"/d/r/sp/QG","32,318"
"/d/r/sp/98","32,205"
"/tier1/rc/sp/95SimpleStory1","32,144"
"/d/r/ne/20","32,120"
"/d/r/ne/73","32,115"
"/d/r/ne/IJT","32,049"
"/d/r/sp/27f","32,033"
"/d/r/ne/f7","31,836"
"/d/r/ne/IJU","31,753"
"/d/r/ne/287","31,670"
"/d/r/ne/164","31,659"
"/d/r/sp/HLQ","31,647"
"/d/r/ne/59","31,622"
"/d/r/sp/2e5","31,415"
"/d/r/ne/f5","31,376"
"/c/tvIp_R2","31,347"
"/tier1/rc/sp/97SimpleStory8","31,300"
"/d/r/sp/HJM","31,012"
"/tier1/rc/sp/95SimpleStory2","30,973"
"/d/r/ne/1c1","30,844"
"/d/r/sp/33","30,821"
"/d/r/sp/HKL","30,478"
"/d/r/ne/IIO","30,376"
"/d/r/ne/128","30,368"
