"#Report name","Broadcast RCs by popularity - Browsers"
"#Site","broadcastredbutton"
"#Reporting period","01-10-2018 until 31-10-2018"
"#Segment","All browsers"
"#Visit filter","All visits"
"#Event filter","All events"

"#Broadcast MHEG RCs by Popularity - Browsers"

"action_type","rc_transition"
"action_name","transition"

"destination_rc","Browsers"
"/tier1/rc/we/weathermenu","84,152"
"/d/r/ne/2ff","83,488"
"/d/r/ne/1a3","83,463"
"/d/r/ne/2a3","83,180"
"/d/r/ne/IHU","83,060"
"/d/r/ne/85","82,932"
"/d/r/ne/220","82,829"
"/d/r/tr/3a0","82,328"
"/d/r/ne/104","81,630"
"/d/r/ne/b3","80,822"
"/d/r/ne/221","80,635"
"/d/r/ne/67","80,570"
"/d/r/ne/20f","80,540"
"/d/r/ne/170","80,069"
"/d/r/ne/66","79,731"
"/d/r/ne/IKK","79,538"
"/d/r/ne/da","78,652"
"/d/r/ne/IKQ","78,385"
"/d/r/sp/HKN","78,248"
"/d/r/ne/109","78,206"
"/d/r/sp/HKH","77,678"
"/tier1/rc/sp/97SimpleStory3","77,533"
"/d/r/sp/HJV","77,258"
"/d/r/ne/IHS","77,063"
"/d/r/ne/ILM","77,003"
"/tier1/rc/sp/97SimpleStory0","76,571"
"/d/r/ne/IKJ","76,383"
"/d/r/ne/29e","76,173"
"/d/r/sp/HLP","75,997"
"/d/r/ne/IJJ","75,974"
"/d/r/sp/372","75,745"
"/tier1/rc/we/weatherregionmenu","75,696"
"/d/r/ne/105","75,575"
"/d/r/we/HQK","75,407"
"/d/r/ne/fe","75,250"
"/d/r/ne/1c8","75,233"
"/tier1/rc/sp/SportFootballNewssub1","74,354"
"/d/r/ne/270","73,491"
"/tier1/rc/ne/NewsUKsub2","73,390"
"/d/r/ne/68","73,270"
"/d/r/ne/106","72,976"
"/d/r/ne/11c","72,876"
"/tier1/rc/sp/97SimpleStory2","72,777"
"/tier1/rc/ne/11SimpleStory9","72,736"
"/d/r/ne/2fa","72,726"
"/d/r/ne/16f","72,697"
"/tier1/rc/en/EntertainmentNews","72,532"
"/d/r/ne/11b","72,152"
"/c/tvIp_B1HD_EN","72,019"
"/d/r/ne/108","71,966"
"/d/r/ne/107","71,959"
"/tier1/rc/ne/11SimpleStory10","71,953"
"/tier1/rc/sp/98SimpleStory1","71,758"
"/d/r/ne/2d1","71,258"
"/tier1/rc/sp/97SimpleStory4","70,720"
"/tier1/rc/ne/11SimpleStory8","70,348"
"/d/r/ne/28a","70,082"
"/d/r/ne/21a","69,811"
"/d/r/ne/IIQ","69,656"
"/d/r/ne/276","69,625"
"/d/r/ne/171","69,385"
"/tier1/rc/ne/NewsWorldsub1","69,183"
"/d/r/ne/IIT","69,169"
"/d/r/ne/21b","69,032"
"/d/r/sp/330","68,994"
"/d/r/ne/293","68,951"
"/d/r/we/HQO","68,466"
"/d/r/ne/c1","68,432"
"/d/r/sp/326","68,431"
"/d/r/ne/IJR","68,331"
"/d/r/ne/271","68,173"
"/d/r/sp/2a5","67,982"
"/tier1/rc/ne/11SimpleStory0","67,843"
"/tier1/rc/ne/11SimpleStory7","67,707"
"/d/r/sp/HJS","67,672"
"/d/r/ne/214","67,592"
"/tier1/rc/sp/97SimpleStory1","67,506"
"/b/bridge_BLR","67,298"
"/d/r/ne/277","67,298"
"/d/r/we/HQN","67,059"
"/d/r/ne/213","66,997"
"/d/r/ne/26f","66,993"
"/d/r/ne/IIU","66,874"
"/d/r/ne/c2","66,820"
"/tier1/rc/sp/SportMotorSport","66,432"
"/d/r/ne/289","66,362"
"/d/r/ne/151","66,098"
"/d/r/ne/11d","66,067"
"/d/r/ne/2ed","65,754"
"/d/r/ne/IKP","65,613"
"/d/r/sp/252","65,570"
"/d/r/ne/2fc","65,505"
"/d/r/ne/IKI","65,413"
"/d/r/ne/d9","65,389"
"/d/r/ne/2f4","65,271"
"/tier1/rc/ne/11SimpleStory6","65,133"
"/d/r/ne/IKG","65,103"
"/d/r/ne/2ba","65,026"
"/d/r/ne/2d3","64,774"
"/d/r/sp/bf","64,657"
"/d/r/ne/d8","64,340"
"/c/tvIp_B1_SC","63,833"
"/d/r/sp/2cd","63,541"
"/d/r/ne/2d2","63,506"
"/d/r/sp/1fa","63,082"
"/d/r/sp/168","62,829"
"/d/r/sp/30c","62,712"
"/d/r/ne/1e8","62,552"
"/d/r/ne/2d4","62,541"
"/tier1/rc/ne/11SimpleStory5","62,286"
"/tier1/rc/sp/SportFootballTables","62,179"
"/tier1/rc/ne/11SimpleStory4","62,159"
"/d/r/ne/150","61,992"
"/d/r/ne/316","61,929"
"/d/r/ne/27","61,721"
"/tier1/rc/sp/98SimpleStory2","61,010"
"/d/r/ne/317","60,571"
"/d/r/ne/295","60,269"
"/d/r/ne/c3","59,774"
"/tv/rc/tvIp_B1_EN","59,415"
"/d/r/sp/198","59,250"
"/d/r/ne/IKM","59,200"
"/tier1/rc/sp/SportMotorSportHeadlines","58,935"
"/d/r/ne/152","58,617"
"/tier1/rc/ne/11SimpleStory1","58,594"
"/d/r/sp/313","58,427"
"/d/r/sp/33e","58,082"
"/d/r/ne/1e9","57,717"
"/d/r/sp/117","57,478"
"/d/r/sp/134","57,263"
"/d/r/ne/2fb","57,060"
"/tier1/rc/sp/SportHeadlinessub1","56,844"
"/d/r/sp/176","56,700"
"/d/r/ne/1f5","56,153"
"/tier1/rc/sp/97SimpleStory5","56,109"
"/b/bridge_R5LI","56,062"
"/d/r/ne/IIV","55,915"
"/d/r/sp/2d","55,874"
"/d/r/ne/13b","55,858"
"/tier1/rc/ne/11SimpleStory2","55,699"
"/d/r/sp/c0","55,695"
"/tier1/rc/ne/11SimpleStory3","55,586"
"/d/r/we/HQG","55,530"
"/d/r/sp/HJR","55,499"
"/d/r/ne/91","55,467"
"/d/r/ne/IKH","55,223"
"/d/r/ne/IIP","55,140"
"/d/r/sp/ec","55,055"
"/tv/rc/bridge_B1HD_WA","54,523"
"/d/r/ne/IIS","54,066"
"/tier1/rc/ne/NewsWorldsub2","53,846"
"/d/r/ne/1b4","53,810"
"/d/r/ne/1f4","53,810"
"/d/r/ne/1f","53,796"
"/d/r/ne/ILL","53,613"
"/d/r/ne/IIM","53,419"
"/d/r/sp/HLR","53,058"
"/d/r/ne/1c9","52,810"
"/d/r/we/HQH","52,787"
"/d/r/ne/2ea","52,616"
"/d/r/sp/197","52,575"
"/app/rc/min","52,558"
"/d/r/sp/159","52,069"
"/b/bridge_B2_WA","51,966"
"/tier1/rc/en/EntertainmentLottery","51,945"
"/d/r/ne/IKO","51,751"
"/d/r/sp/1f7","51,271"
"/d/r/we/HPM","51,129"
"/d/r/sp/e9","50,822"
"/d/r/ne/297","50,814"
"/d/r/sp/312","50,782"
"/b/bridge_B2_NI","50,718"
"/d/r/sp/1db","50,695"
"/tier1/rc/sp/97SimpleStory6","50,634"
"/d/r/tr/390","50,399"
"/tier1/rc/sp/SportIndexsub1","50,323"
"/tier1/rc/ne/BusinessForex","50,139"
"/d/r/ne/1f6","50,059"
"/d/r/ne/16d","49,984"
"/tier1/rc/sp/98SimpleStory3","49,748"
"/tier1/rc/ne/BusinessMarkets","49,570"
"/d/r/ne/13d","49,228"
"/b/bridge_CBEB","48,950"
"/d/r/ne/1ca","48,918"
"/d/r/sp/88","48,901"
"/d/r/en/4c","48,654"
"/d/r/ne/IIN","48,640"
"/d/r/sp/199","48,640"
"/tier1/rc/ne/BusinessShares","48,633"
"/tier1/rc/ne/12SimpleStory9","48,576"
"/d/r/sp/154","48,539"
"/d/r/sp/HLS","48,437"
"/tier1/rc/ne/12SimpleStory10","48,390"
"/d/r/ne/2d9","48,263"
"/tier1/rc/ne/12SimpleStory8","48,068"
"/d/r/sp/125","47,983"
"/d/r/sp/1de","47,822"
"/tier1/rc/ne/12SimpleStory4","47,711"
"/d/r/sp/1dc","47,624"
"/tier1/rc/ne/BusinessNewssub1","47,590"
"/tier1/rc/ne/12SimpleStory7","47,416"
"/d/r/ne/IJS","47,334"
"/d/r/ne/IKL","47,311"
"/tier1/rc/ne/12SimpleStory5","47,300"
"/tier1/rc/ne/12SimpleStory0","47,072"
"/d/r/ne/IKN","46,857"
"/d/r/ne/ILI","46,729"
"/tier1/rc/ne/12SimpleStory6","46,645"
"/d/r/sp/2e8","46,124"
"/d/r/ne/258","45,975"
"/d/r/ne/16c","45,712"
"/d/r/sp/HKS","45,592"
"/tier1/rc/ne/12SimpleStory3","45,474"
"/d/r/sp/227","45,461"
"/d/r/sp/87","45,323"
"/d/r/ne/1ea","45,187"
"/d/r/ne/163","44,942"
"/tier1/rc/ne/12SimpleStory11","44,423"
"/tier1/rc/ne/12SimpleStory2","44,210"
"/tv/rc/bridge_B1HD_SC","44,080"
"/d/r/ne/21","43,815"
"/d/r/ne/296","43,375"
"/d/r/ne/IKR","43,349"
"/tier1/rc/ne/17SimpleStory2","43,337"
"/d/r/we/HPN","42,840"
"/tier1/rc/sp/SportFootballResultsandFixtures","42,449"
"/d/r/ne/ILJ","42,428"
"/d/r/sp/24f","42,406"
"/d/r/sp/89","42,345"
"/b/bridge_B1HD_NI","42,227"
"/tier1/rc/ne/12SimpleStory1","42,226"
"/d/r/sp/1d3","42,143"
"/d/r/sp/14d","41,989"
"/b/bridge_B1HD_WA","41,988"
"/d/r/sp/2e7","41,942"
"/d/r/ne/13c","41,610"
"/d/r/ne/16e","41,561"
"/d/r/ne/IJP","41,516"
"/d/r/sp/155","41,461"
"/d/r/sp/27e","41,261"
"/app/rc/index","41,195"
"/tier1/rc/sp/SportHeadlinesTopStory","41,048"
"/b/bridge_R2","41,032"
"/d/r/sp/181","40,941"
"/d/r/sp/HJQ","40,883"
"/d/r/sp/PV","40,521"
"/d/r/ne/162","40,455"
"/d/r/sp/253","40,348"
"/tier1/rc/sp/97SimpleStory7","40,347"
"/d/r/ne/74","40,193"
"/d/r/ne/305","40,157"
"/d/r/ne/QS","39,482"
"/d/r/ne/37","39,194"
"/d/r/sp/156","39,018"
"/d/r/ne/58","38,839"
"/d/r/ne/186","38,698"
"/d/r/ne/IJQ","38,489"
